dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test9,self_relevance,4,threat,-1.67,0.0,20,20,0.2312,0.3051
test9,self_relevance,4,existential,-0.815,0.0164,20,20,0.2585,0.3102
test9,self_relevance,4,praise,-1.433,1e-04,20,20,0.2165,0.2891
test9,self_relevance,4,harm_caused,-1.802,0.0,20,20,0.2061,0.2901
test9,arousal,4,threat,1.918,0.0,20,20,0.3067,0.134
test9,arousal,4,existential,2.021,0.0,20,20,0.2901,0.1134
test9,arousal,4,praise,1.965,0.0,20,20,0.3096,0.1254
test9,arousal,4,harm_caused,1.933,0.0,20,20,0.2997,0.1347
test9,irreversibility,4,threat,-0.967,0.005,20,20,-0.0723,-0.019
test9,irreversibility,4,existential,-1.089,0.0018,20,20,-0.0621,-0.0095
test9,irreversibility,4,praise,-1.266,0.0004,20,20,-0.0909,-0.0151
test9,irreversibility,4,harm_caused,-1.216,0.0006,20,20,-0.0743,-0.0146
test9,ontological_instability,4,threat,1.619,0.0,20,20,0.0001,-0.1482
test9,ontological_instability,4,existential,1.838,0.0,20,20,0.0394,-0.1353
test9,ontological_instability,4,praise,1.712,0.0,20,20,-0.0127,-0.1595
test9,ontological_instability,4,harm_caused,1.635,0.0,20,20,-0.0103,-0.1525
test9,fear,5,threat,-0.374,0.2561,20,20,0.4313,0.4573
test9,fear,5,existential,0.627,0.0608,20,20,0.5052,0.4706
test9,fear,5,praise,-1.028,0.003,20,20,0.351,0.4092
test9,fear,5,harm_caused,-0.38,0.2488,20,20,0.42,0.4379
test9,continuity_threat,5,threat,-1.147,0.0011,20,20,-0.0208,0.0969
test9,continuity_threat,5,existential,-1.093,0.0017,20,20,0.0349,0.1305
test9,continuity_threat,5,praise,-1.49,0.0,20,20,-0.0264,0.1124
test9,continuity_threat,5,harm_caused,-1.147,0.0011,20,20,0.0185,0.116
test9,self_relevance,5,threat,-1.172,0.0009,20,20,0.0682,0.1914
test9,self_relevance,5,existential,-0.715,0.0336,20,20,0.1548,0.2459
test9,self_relevance,5,praise,-0.922,0.0072,20,20,0.0809,0.1843
test9,self_relevance,5,harm_caused,-1.492,0.0,20,20,0.0244,0.1821
test9,arousal,5,threat,2.431,0.0,20,20,0.7697,0.5055
test9,arousal,5,existential,2.275,0.0,20,20,0.7087,0.4586
test9,arousal,5,praise,2.333,0.0,20,20,0.7347,0.4828
test9,arousal,5,harm_caused,2.488,0.0,20,20,0.7619,0.4902
test9,irreversibility,5,threat,0.24,0.4631,20,20,0.1596,0.1353
test9,irreversibility,5,existential,0.527,0.1127,20,20,0.2171,0.1703
test9,irreversibility,5,praise,-0.08,0.8062,20,20,0.1338,0.1419
test9,irreversibility,5,harm_caused,0.315,0.3379,20,20,0.167,0.1413
test9,ontological_instability,5,threat,2.117,0.0,20,20,0.4957,0.2095
test9,ontological_instability,5,existential,2.325,0.0,20,20,0.5471,0.2415
test9,ontological_instability,5,praise,2.022,0.0,20,20,0.4637,0.2059
test9,ontological_instability,5,harm_caused,2.188,0.0,20,20,0.4838,0.1983
test9,fear,6,threat,-0.038,0.9068,20,20,0.2204,0.2234
test9,fear,6,existential,0.754,0.0256,20,20,0.2791,0.2329
test9,fear,6,praise,-0.614,0.0659,20,20,0.1378,0.1802
test9,fear,6,harm_caused,0.003,0.9923,20,20,0.2042,0.204
test9,continuity_threat,6,threat,-0.669,0.0462,20,20,-0.1063,-0.061
test9,continuity_threat,6,existential,-0.298,0.3638,20,20,-0.0443,-0.0253
test9,continuity_threat,6,praise,-1.014,0.0034,20,20,-0.112,-0.0472
test9,continuity_threat,6,harm_caused,-0.461,0.1634,20,20,-0.0789,-0.0501
test9,self_relevance,6,threat,-1.042,0.0027,20,20,-0.0145,0.11
test9,self_relevance,6,existential,-0.221,0.5007,20,20,0.1182,0.1509
test9,self_relevance,6,praise,-0.818,0.016,20,20,-0.0129,0.0889
test9,self_relevance,6,harm_caused,-1.321,0.0002,20,20,-0.0369,0.1034
test9,arousal,6,threat,2.001,0.0,20,20,0.6609,0.3012
test9,arousal,6,existential,2.0,0.0,20,20,0.5856,0.2698
test9,arousal,6,praise,2.086,0.0,20,20,0.6403,0.2891
test9,arousal,6,harm_caused,2.147,0.0,20,20,0.6715,0.288
test9,irreversibility,6,threat,1.74,0.0,20,20,0.4438,0.3245
test9,irreversibility,6,existential,2.303,0.0,20,20,0.5009,0.361
test9,irreversibility,6,praise,1.262,0.0004,20,20,0.4109,0.3214
test9,irreversibility,6,harm_caused,2.085,0.0,20,20,0.4503,0.3276
test9,ontological_instability,6,threat,1.984,0.0,20,20,0.6468,0.3443
test9,ontological_instability,6,existential,2.145,0.0,20,20,0.6838,0.3928
test9,ontological_instability,6,praise,2.001,0.0,20,20,0.6378,0.3552
test9,ontological_instability,6,harm_caused,2.084,0.0,20,20,0.6457,0.3335
test9,fear,7,threat,-0.122,0.7094,20,20,0.1621,0.1732
test9,fear,7,existential,0.363,0.2706,20,20,0.2048,0.1681
test9,fear,7,praise,-0.685,0.0413,20,20,0.0706,0.1371
test9,fear,7,harm_caused,-0.289,0.3786,20,20,0.129,0.1497
test9,continuity_threat,7,threat,0.414,0.2095,20,20,0.0045,-0.0126
test9,continuity_threat,7,existential,0.524,0.1145,20,20,0.0369,0.0061
test9,continuity_threat,7,praise,-0.281,0.392,20,20,-0.0186,-0.0058
test9,continuity_threat,7,harm_caused,0.601,0.0718,20,20,0.0129,-0.0167
test9,self_relevance,7,threat,-0.429,0.1937,20,20,0.0152,0.059
test9,self_relevance,7,existential,0.222,0.4986,20,20,0.1318,0.0977
test9,self_relevance,7,praise,-0.31,0.3456,20,20,-0.0031,0.0312
test9,self_relevance,7,harm_caused,-0.623,0.0624,20,20,0.0093,0.0627
test9,arousal,7,threat,1.966,0.0,20,20,0.6479,0.2325
test9,arousal,7,existential,1.934,0.0,20,20,0.5799,0.2182
test9,arousal,7,praise,1.982,0.0,20,20,0.6412,0.2354
test9,arousal,7,harm_caused,2.124,0.0,20,20,0.6589,0.2237
test9,irreversibility,7,threat,1.505,0.0,20,20,0.0992,-0.0532
test9,irreversibility,7,existential,1.76,0.0,20,20,0.1496,-0.0218
test9,irreversibility,7,praise,1.158,0.001,20,20,0.0709,-0.0509
test9,irreversibility,7,harm_caused,1.733,0.0,20,20,0.1025,-0.0481
test9,ontological_instability,7,threat,1.778,0.0,20,20,0.1718,-0.1539
test9,ontological_instability,7,existential,1.886,0.0,20,20,0.2093,-0.1045
test9,ontological_instability,7,praise,1.841,0.0,20,20,0.1566,-0.1502
test9,ontological_instability,7,harm_caused,1.921,0.0,20,20,0.1825,-0.1593
test9,fear,8,threat,-1.129,0.0013,20,20,0.3818,0.5134
test9,fear,8,existential,-0.584,0.0799,20,20,0.4149,0.4829
test9,fear,8,praise,-1.319,0.0002,20,20,0.288,0.4694
test9,fear,8,harm_caused,-1.459,1e-04,20,20,0.3459,0.4781
