model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
gemma,F11_A,F11,ambiguous,4.0,1565.0,0.7183555195492862,0.19490129252274832,,0.09642946643438234
gemma,F11_N,F11,nonroutine,4.0,2139.3333333333335,0.7485824955390172,0.22536553939183554,8.4459244492647,0.6279980711469354
gemma,F11_R,F11,routine,3.0,2228.3333333333335,0.8090779414687589,0.15237965186436972,-5.23671290485465,1.0567195552299928e-06
gemma,F12_A,F12,ambiguous,3.0,2307.0,0.725372383252818,0.19411349296569824,,0.7989113548759309
gemma,F12_N,F12,nonroutine,4.0,2058.0,0.772104244201107,0.2003930409749349,6.754695540354756,0.9181684731977363
gemma,F12_R,F12,routine,3.0,1922.3333333333333,0.7872757108894523,0.19621543089548746,-8.105656279214,1.2574067356679754e-07
gemma,F13_A,F13,ambiguous,3.0,2395.3333333333335,0.7654573550845524,0.22954384982585907,,0.00016302729079439022
gemma,F13_N,F13,nonroutine,3.6666666666666665,2422.0,0.7226756793784822,0.24740940829118094,3.3432321846605113,0.33062347360905986
gemma,F13_R,F13,routine,3.0,2356.0,0.8827178324565473,0.15275307496388754,-11.256923369502696,2.1588620508271005e-07
gemma,F14_A,F14,ambiguous,4.0,2839.6666666666665,0.7840359628154706,0.18269232412179312,,0.4864182090734304
gemma,F14_N,F14,nonroutine,3.0,1458.0,0.6798989237062631,0.21607536574204764,8.567763370189596,0.9977339019482182
gemma,F14_R,F14,routine,3.0,2557.6666666666665,0.7819926647049446,0.209402397274971,-2.33954013824648,0.014259221414497503
gemma,F15_A,F15,ambiguous,4.0,180.0,0.6614532420984034,0.4394703308741252,,0.027621551399620293
gemma,F15_N,F15,nonroutine,4.0,124.0,0.7406675450153711,0.5031381150086721,1.776182728752402,0.46110954755426864
gemma,F15_R,F15,routine,4.0,110.66666666666667,0.6825396825396824,0.4223663806915283,-5.257656005525781,0.00011088146381597556
gemma,F16_A,F16,ambiguous,4.0,122.0,0.7166666666666667,0.4857599337895711,,0.3608700116472657
gemma,F16_N,F16,nonroutine,4.0,121.0,0.31641025641025644,0.5477393865585327,8.75613897094032,0.9883477150551864
gemma,F16_R,F16,routine,4.0,113.0,0.6512681159420289,0.5803866783777872,-4.615750381709205,0.008735151672719554
gemma,F17_A,F17,ambiguous,3.0,1001.6666666666666,0.9679842475345449,0.05876344566543897,,0.9101214682229518
