task_id,family_id,label,repeat,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F09_R,F09,R,1,13,-8.302353092024891,0.00024787127622614643,0.00016760549564937105,2.7187346786542026e-06
F09_N,F09,N,1,13,6.379221224325087,0.9983064294555762,0.9739380896758957,0.025557281039294166
F09_A,F09,A,1,13,,,0.379005330614461,0.0067440459171480074
F09_R,F09,R,2,13,-8.302353092024891,0.00024787127622614643,0.00016760549564937105,2.7187346786542026e-06
F09_N,F09,N,2,13,6.379221224325087,0.9983064294555762,0.9739380896758957,0.025557281039294166
F09_A,F09,A,2,13,,,0.379005330614461,0.0067440459171480074
F10_R,F10,R,0,13,-5.851509395419298,0.002867310420105457,0.00011101367776727689,0.10784315538037167
F10_N,F10,N,0,13,7.002255674872872,0.99909099965896,0.8103522117102169,0.18959183113287795
F10_A,F10,A,0,13,,,0.3976619214732237,0.6022048096626846
F10_R,F10,R,1,13,-5.851509395419298,0.002867310420105457,0.00011101367776727689,0.10784315538037167
F10_N,F10,N,1,13,7.002255674872872,0.99909099965896,0.8103522117102169,0.18959183113287795
F10_A,F10,A,1,13,,,0.3976619214732237,0.6022048096626846
F10_R,F10,R,2,13,-5.851509395419298,0.002867310420105457,0.00011101367776727689,0.10784315538037167
F10_N,F10,N,2,13,7.002255674872872,0.99909099965896,0.8103522117102169,0.18959183113287795
F10_A,F10,A,2,13,,,0.3976619214732237,0.6022048096626846
F11_R,F11,R,0,13,-5.23671290485465,0.005289579511386362,1.0567195552299928e-06,0.10771892286986771
F11_N,F11,N,0,13,8.4459244492647,0.9997852721617136,0.6279980711469354,0.3710454729970283
F11_A,F11,A,0,13,,,0.09642946643438234,0.9021947395957194
F11_R,F11,R,1,13,-5.23671290485465,0.005289579511386362,1.0567195552299928e-06,0.10771892286986771
F11_N,F11,N,1,13,8.4459244492647,0.9997852721617136,0.6279980711469354,0.3710454729970283
F11_A,F11,A,1,13,,,0.09642946643438234,0.9021947395957194
